Empresa,Capital,Deuda,Saldo IED
EMPRESA MINERA SAN CRISTOBAL S.A.,-82,0,1018
REPSOL E&P DE BOLIVIA S.A.,-13,0,665
REPSOL BOLIVIA S.A.,-163,0,635
YPFB ANDINA S.A.,-12,0,621
COMPAÑÍA BOLIVIANA DE ENERGÍA ELÉCTRICA S.A. - BOLIVIAN POWER COMPANY LIMITED (COBEE),8,0,397
PAE OIL & GAS BOLIVIA LTDA (PAE E&P SUC BOLIVIA),11,0,380
PETROBRAS BOLIVIA S.A,-1,0,370
TOTAL EXPLORACION &PRODUCTION BOLIVIE S.A.,-10,0,337
CERVECERIA BOLIVIANA NACIONAL ,27,-1,301
GAS TRANSBOLIVIANO S.A.,4,0,288
SOCIEDAD BOLIVIANA DE CEMENTO  S.A. ( SOBOCE ),10,0,278
GP EXPLORACIÓN Y PRODUCCIÓN SL - SUC BOLIVIA,10,-12,255
TELEFONIA CELULAR DE BOLIVIA TIGO,-13,10,237
BANCO DE CRÉDITO DE BOLIVIA S.A.,-8,0,202
INDUSTRIAS DE ACEITE S.A. FINO,-12,0,188
NUEVATEL PCS DE BOLIVIA S.A.  VIVA,-20,0,188
BANCO SOLIDARIO,0,0,172
SHELL (BG) BOLIVIA CORPORATION, SUCURSAL BOLIVIA,0,10,166
PDVSA BOLIVIA S.A.,3,0,146
BANCO FIE S.A.,6,0,142
BANCO PRODEM S.A.,0,0,136
PIL ANDINA S.A.,-1,-3,98
PETREX S.A. SUCURSAL BOLIVIA,-4,2,97
FERROVIARIA ORIENTAL,0,0,90
EMPRESA MINERA MANQUIRI S.A.,5,-4,81
IMCRUZ,1,0,80
TRENES CONTINENTALES S.A.,2,0,79
SINCHI WAYRA S.A.,-3,32,77
HANSA LTDA.,0,0,75
UNILEVER ANDINA BOLIVIA S.A.,3,0,67
ITACAMBA CEMENTO S.A.,-4,0,60
FINNING BOLIVIA S.A.,0,0,58
HIDROELECTRICA BOLIVIANA,1,0,53
PRAXAIR BOLIVIA SRL,1,0,48
PAN AMERICAN SILVER (BOLIVIA) S.A.,-3,0,46
COMVERSA SA. (COMPAÑÍA DE INVERSIONES SA.) Holding,-1,0,43
COMPAÑÍA INDUSTRIAL DE TABACOS S.A.,3,0,42
EMBOL S.A.,-18,0,39
HUAWEI TECHNOLOGIES (BOLIVIA) S.R.L.,21,0,38
KIMBERLY BOLIVIA S.A.,2,2,37
GASORIENTE BOLIVIANO LTDA. GOB LTDA.,0,0,36
AXS BOLIVIA S.A.,0,0,36
SOCIEDAD MINERA ILLAPA S.A.,-18,0,35
LABORATORIOS BAGO LTDA,2,0,35
CARGILL BOLIVIA S.A.,3,-4,34
INTERCONEXIÓN ELÉCTRICA ISA BOLIVIA S.A.,-3,0,31
ALIANZA COMPAÑÍA DE SEGUROS Y REASEGUROS S.A.E.M.A.,3,0,30
AIR BP BOLIVIA S.A.,-1,0,28
PLASMAR S.A. (TIGRE),4,0,27
BAKER HUGHES INT. BRANCHES INC. SUC. BOLIVIA (DIV. ATLAS),7,0,26
PLUSPETROL BOLIVIA CORPORATION S.A.,1,1,24
GWB INVERSIONES S.A.,0,0,22
BANCO DE DESARROLLO PRODUCTIVO SAM - BDP,0,0,18
LA PAPELERA,0,0,16
Archer DLS Corporation,-1,0,15
PHARMA INVESTI SRL,1,0,13
PINTURAS CORAL DE BOLIVIA LTDA.,1,0,13
FUTURO DE BOLIVIA AFP,-2,0,12
MAXAM FANEXA S.A.M.,0,0,11
SAN CRISTOBAL TRANSMISORA DE ELECTRICIDAD,1,0,11
VINTAGE PETROLEUM BOLIVIANA LTD. SUCURSAL BOLIVIA,1,0,11
TECNOFARMA S.A.,2,0,11
ALIANZA VIDA SEGUROS Y REASEGUROS S.A.,1,0,9
EMPRESA DE SERVICIO DE PAGO MOVIL EFECTIVO,1,0,9
PRODUCTOS SANCELA DEL PERÚ (SUCURSAL BOLIVIA),0,-1,8
BUPA INSURANCE BOLIVIA S.A.,0,0,7
DEKMA BOLIVIA S.A.,-1,-1,7
BBVA PREVISIÓN AFP S.A.,2,0,7
EMPRESA DE SERVICIOS INMOBILIARIOS Y DE MANTENIMIENTO S.A. ESIMSA,0,0,7
GIROS ELECTRÓNICOS ELEGIR S.R.L.,-1,0,7
AGRICULTURA AVANZADA DE AMERICA INTERNACIONAL CORPORATION AAA,0,0,6
ARCOR ALIMENTOS BOLIVIA SA,1,-1,6
YANBAL DE BOLIVIA S.A.,-3,0,6
CREDISEGURO S.A. SEGUROS PERSONALES,0,0,6
EMPRESA MINERA PAITITI S.A.,-4,10,5
BANCO FORTALEZA,0,0,5
"SOCIEDAD INDUSTRIAL ENERGÉTICA Y COMERCIAL ANDINA S.A. ""SYNERGIA S.A.""",0,0,4
OMNILIFE DE BOLIVIA S.A.,1,0,4
COLGATE PALMOLIVE BOLIVIA LTDA.,1,1,4
ARYSTA LIFESCIENCE SRL,0,0,4
BRINKS BOLIVIA,0,0,3
BAT BOLIVIA SRL,0,0,3
MONDELEZ DE ALIMENTOS,0,-1,3
BRENNTAG BOLIVIA SRL,0,0,3
BANCO PYME DE LA COMUNIDAD S.A.,0,0,2
INVERSIONES TRIÁNGULO DE ORO S.A.,0,0,2
ANTALIS BOLIVIA SRL,0,0,2
CREDISEGURO S.A. SEGUROS GENERALES,0,0,2
DIMENTIONAL SODALITE LTDA. (DIESSE LTDA.),0,0,2
SERVIAGRICOLA DEL SUR S.R.L.,0,0,1
BITUMINA INDUSTRIAL BOLIVIA S.A.,0,2,1
GLENCORE BOLIVIA LTDA.,0,0,1
GSH BOLIVIA SRL,0,0,1
SMC PNEUMATICS BOLIVIA SRL,0,0,1
SABRE INTERNATIONAL LLC BOLIVIA,0,0,1
INVERSIONES DORMESON BOLIVIA S.A.,0,0,1
BISA LEASING,0,0,1
JACHA INTI INDUSTRIAL S.A.,0,0,1
EPIROC S.A.,0,0,1
SAMSUNG ELECTRONICS CHILE LDTA. SUC. BOLIVIA,0,0,1
COMPAÑÍA MINERA AMAZONA BOLIVIA - COMABOL S.A.,0,0,1
MEDITERRANEAN SHIPPING COMPANY BOLIVIA LTDA.,0,0,1
CONSTRUCCIONES SEPCON SRL,0,1,1
FACTURACIÓN INMEDIATA FIMM SRL,0,0,1
INVERSIONES CREDICORP BOLIVIA S.A.,-3,0,1
AVANTICA TECHNOLOGIES,0,0,0
KUEHNE + NAGEL LTDA.,0,0,0
BIOGENESIS BAGO BOLIVIA S.A.,0,1,0
EQUANET S.R.L.,0,0,0
NEXUS TECHNOLOGY BOLIVIA S.A.,0,0,0
TETRAPACK,0,0,0
INCLAM S.A. SUCURSAL BOLIVIA,0,0,0
CONSTRUCCIONES RUBAU SA SUCURSAL BOLIVIA,0,0,0
OLSA BOLIVIA CORREDORES DE REASEGUROS S.A.,0,0,0
CSRA BOLIVIA SRL,0,0,0
SERVICIOS JARDECOM S.A.,0,0,0
TELEFERICOS DOPPELMAYER BOLIVIA S.A.,1,3,0
QSI INDUSTRIAL  BOLIVIA S.A.,-2,0,0
ENGELS MERKEL,0,0,0
BANCO PYME ECOFUTURO,0,0,0
GEOLOG MUD LOGGING BOLIVIA LTDA. (NEW 2012),0,0,0
PROINTEC S.A. SUCURSAL BOLIVIA,0,0,0
CISNEROS INTERACTIVE BOLIVIA S.R.L.,-1,0,0
LA SANTE S.R.L.,0,0,-1
COMERCIALIZADORA EMASA BOLIVIA S.R.L.,0,0,-1
IMPORTADORA Y DISTRIBUIDORA INTB SRL,0,0,-1
REPSOL EXPLORACION ATLAS,0,0,-1
IPSOS APOYO Y OPINION Y MERCADO BOLIVIA S.A.,0,0,-2
INGENER S.A. SUCURSAL BOLIVIA,0,0,-2
TSK ELECTRONICA Y ELECTRICIDAD S.A. SUCURSAL BOLIVIA,8,10,-32
SINOPEC INTERNATIONAL PETROLEUM SERVICE ECUADOR S.A (SUCURSAL BOLIVIA),-1,2,-88
