Empresa	Capital	Deuda	Saldo IED
EMPRESA MINERA SAN CRISTOBAL S.A.	-82	0	1018,075448
REPSOL E&P DE BOLIVIA S.A.	-13	0	664,8266478
REPSOL BOLIVIA S.A.	-163	0	634,903564
YPFB ANDINA S.A.	-12	0	621,2626073
COMPAÑÍA BOLIVIANA DE ENERGÍA ELÉCTRICA S.A. - BOLIVIAN POWER COMPANY LIMITED (COBEE)	8	0	396,781643
PAE OIL & GAS BOLIVIA LTDA (PAE E&P SUC BOLIVIA)	11	0	379,643179
PETROBRAS BOLIVIA S.A	-1	0	369,6162879
TOTAL EXPLORACION &PRODUCTION BOLIVIE S.A.	-10	0	337,4407653
CERVECERIA BOLIVIANA NACIONAL 	27	-1	301,305188
GAS TRANSBOLIVIANO S.A.	4	0	288,2289935
SOCIEDAD BOLIVIANA DE CEMENTO  S.A. ( SOBOCE )	10	0	277,9548406
GP EXPLORACIÓN Y PRODUCCIÓN SL - SUC BOLIVIA	10	-12	254,6691897
TELEFONIA CELULAR DE BOLIVIA TIGO	-13	10	237,4300978
BANCO DE CRÉDITO DE BOLIVIA S.A.	-8	0	202,335626
INDUSTRIAS DE ACEITE S.A. FINO	-12	0	188,4544744
NUEVATEL PCS DE BOLIVIA S.A.  VIVA	-20	0	188,0132888
BANCO SOLIDARIO	0	0	171,8722335
SHELL (BG) BOLIVIA CORPORATION, SUCURSAL BOLIVIA	0	10	166,1669334
PDVSA BOLIVIA S.A.	3	0	145,5717316
BANCO FIE S.A.	6	0	141,6379463
BANCO PRODEM S.A.	0	0	136,3930239
PIL ANDINA S.A.	-1	-3	98,42170911
PETREX S.A. SUCURSAL BOLIVIA	-4	2	97,07192103
FERROVIARIA ORIENTAL	0	0	89,677912
EMPRESA MINERA MANQUIRI S.A.	5	-4	81,22904881
IMCRUZ	1	0	80,34925536
TRENES CONTINENTALES S.A.	2	0	79,32352681
SINCHI WAYRA S.A.	-3	32	77,43260761
HANSA LTDA.	0	0	74,8921448
UNILEVER ANDINA BOLIVIA S.A.	3	0	66,73406408
ITACAMBA CEMENTO S.A.	-4	0	59,69406855
FINNING BOLIVIA S.A.	0	0	57,60478994
HIDROELECTRICA BOLIVIANA	1	0	52,56794405
PRAXAIR BOLIVIA SRL	1	0	48,24754647
PAN AMERICAN SILVER (BOLIVIA) S.A.	-3	0	45,70529734
COMVERSA SA. (COMPAÑÍA DE INVERSIONES SA.) Holding	-1	0	42,53866048
COMPAÑÍA INDUSTRIAL DE TABACOS S.A.	3	0	42,29634253
EMBOL S.A.	-18	0	39,13007509
HUAWEI TECHNOLOGIES (BOLIVIA) S.R.L.	21	0	38,41933175
KIMBERLY BOLIVIA S.A.	2	2	37,11154
GASORIENTE BOLIVIANO LTDA. GOB LTDA.	0	0	36,49813052
AXS BOLIVIA S.A.	0	0	35,56333627
SOCIEDAD MINERA ILLAPA S.A.	-18	0	35,43926966
LABORATORIOS BAGO LTDA	2	0	35,10496632
CARGILL BOLIVIA S.A.	3	-4	34,22093211
INTERCONEXIÓN ELÉCTRICA ISA BOLIVIA S.A.	-3	0	31,0081938
ALIANZA COMPAÑÍA DE SEGUROS Y REASEGUROS S.A.E.M.A.	3	0	29,56455289
AIR BP BOLIVIA S.A.	-1	0	27,79201567
PLASMAR S.A. (TIGRE)	4	0	27,47684697
BAKER HUGHES INT. BRANCHES INC. SUC. BOLIVIA (DIV. ATLAS)	7	0	26,01090469
PLUSPETROL BOLIVIA CORPORATION S.A.	1	1	23,66177334
GWB INVERSIONES S.A.	0	0	21,70974221
BANCO DE DESARROLLO PRODUCTIVO SAM - BDP	0	0	18,15256549
LA PAPELERA	0	0	15,7475936
Archer DLS Corporation	-1	0	15,056758
PHARMA INVESTI SRL	1	0	12,80883615
PINTURAS CORAL DE BOLIVIA LTDA.	1	0	12,75634605
FUTURO DE BOLIVIA AFP	-2	0	11,6066361
MAXAM FANEXA S.A.M.	0	0	11,38442516
SAN CRISTOBAL TRANSMISORA DE ELECTRICIDAD	1	0	11,01637231
VINTAGE PETROLEUM BOLIVIANA LTD. SUCURSAL BOLIVIA	1	0	10,99509073
TECNOFARMA S.A.	2	0	10,63747834
ALIANZA VIDA SEGUROS Y REASEGUROS S.A.	1	0	9,265017393
EMPRESA DE SERVICIO DE PAGO MOVIL EFECTIVO	1	0	9,008208458
PRODUCTOS SANCELA DEL PERÚ (SUCURSAL BOLIVIA)	0	-1	7,99021156
BUPA INSURANCE BOLIVIA S.A.	0	0	6,823935568
DEKMA BOLIVIA S.A.	-1	-1	6,729971083
BBVA PREVISIÓN AFP S.A.	2	0	6,679156925
EMPRESA DE SERVICIOS INMOBILIARIOS Y DE MANTENIMIENTO S.A. ESIMSA	0	0	6,6552292
GIROS ELECTRÓNICOS ELEGIR S.R.L.	-1	0	6,628021081
AGRICULTURA AVANZADA DE AMERICA INTERNACIONAL CORPORATION AAA	0	0	6,271525292
ARCOR ALIMENTOS BOLIVIA SA	1	-1	6,102347584
YANBAL DE BOLIVIA S.A.	-3	0	5,752634667
CREDISEGURO S.A. SEGUROS PERSONALES	0	0	5,529372931
EMPRESA MINERA PAITITI S.A.	-4	10	5,011111231
BANCO FORTALEZA	0	0	4,629385083
SOCIEDAD INDUSTRIAL ENERGÉTICA Y COMERCIAL ANDINA S.A. "SYNERGIA S.A."	0	0	4,423525309
OMNILIFE DE BOLIVIA S.A.	1	0	3,925261223
COLGATE PALMOLIVE BOLIVIA LTDA.	1	1	3,669680956
ARYSTA LIFESCIENCE SRL	0	0	3,511960629
BRINKS BOLIVIA	0	0	3,36394295
BAT BOLIVIA SRL	0	0	3,17735554
